app_id,app_name,category,description,avg_rating
50,Ayushman App,Medical,"Ayushman is an official mobile app from Govt. of India.

Ayushman Bharat – Pradhan Mantri Jan Arogya Yojana (PM-JAY), is a flagship scheme of Government of India to provide cashless secondary and tertiary care treatment from the empanelled public and private hospitals providing coverage to more than 10 crore poor and vulnerable beneficiary families. 

National Health Authority (NHA) is the apex body responsible for the implementation of Ayushman Bharat PM-JAY.

Ayushman app can be used to ",4.0
51,Apollo 247 - Health & Medicine,Medical,"About Us
We are India’s largest and trusted omnichannel Medical and Pharmacy App for medicines, lab tests and doctor consultations.

Apollo 24|7 also offers 19-minute* medicine delivery in Delhi, Noida, Gurugram, Hyderabad, Bangalore, and Kolkata. Being the best medical app, our offerings include online doctor consultation, lab test sample from home pickup and medicine delivery at home. Our medicine app lists 5,000+ credible Apollo hospital doctors, 1000+ lab tests and 60,000+ SKUs with medic",4.6
52,PharmEasy - Healthcare App,Medical,"PharmEasy is one of India's top online pharmacy apps

You can now…
Stay with your baby, we’ll deliver the diapers.
Play with your pet, we’ll deliver its treats.
Family sticks by you in sickness, and that’s what we are, your Pharmily. 🤗

Order medicines online & enjoy Same-Day Delivery in select cities. 🏠 Download the PharmEasy medicine delivery app now & take care of your family’s healthcare needs at great discounts, all from the comfort of your home.

PharmEasy is a part of 4 crore+ fa",4.5
53,MedPlus Mart - Online Pharmacy,Medical,"Buy genuine medicines, baby, nutrition, healthcare, personal care, diabetic and other speciality products at the best prices using the MedPlus Mart App. This app provides you access to all the services provided by MedPlus pharmacies conveniently from the comfort of your home through an easy to use interface.

MedPlus Mart App is a comprehensive medical App where you can not only order medicines but also read important information about the medicines you take, their alternatives or substitutes,",4.3
54,TATA 1mg Online Healthcare App,Medical,"About Tata 1mg

We are India's leading, & most-trusted online pharmacy & healthcare app. From doctor consultations on chat to online medicine delivery & lab tests at home: we have it all covered for you. We are active in 1000+ cities including Delhi, Gurgaon, Noida, Mumbai, Pune, Ahmedabad, Lucknow, Bangalore, Kolkata & many more. 

At Tata 1mg you can:
- Order Medicines Online
- Book Lab Tests 
- Consult Doctors Online
- Read Health Tips
- View Medicine Information
- Set Medicine Remi",4.7
55,Way2News Daily News App,News and magazines,"🌟 Discover Way2News: Indian Hyperlocal Short News App 🌟
Way2News, India’s largest Hyperlocal short news App, is your go-to source for daily local news in various vernacular languages presented in a short-summarized format, trusted by millions of Indians.

Install now & access verified Telugu news, Tamil news, and more. 

Get daily tailored news updates based on your preferred language & location, including the latest election news with live updates and results for 2024.
Experience diverse ",4.7
56,Dailyhunt - News & Magazines,News and magazines,"New Feature: 
- Introducing Dailyhunt Premium
- 9000+ Magazines & eNewspapers
- No ads, enjoy uninterrupted reading

- Xpresso news & videos on Dailyhunt. News that matters in time that matters. Xpresso’s available in Hindi & English, coming soon to all languages.

- Just read news at a glance with images & videos on Xpresso in a visual and fun way

- Dailyhunt, app for News & Videos – Local, National & International News,
Politics, Entertainment, Cricket & much more!

- News, videos",4.7
57,Google News - Daily Headlines,News and magazines,"Google News is a personalized news aggregator that organizes and highlights what’s happening in the world so you can discover more about the stories that matter to you.

With Google News, you’ll find:

YOUR BRIEFING: It can be nearly impossible to keep up with every story you care about, Your Briefing makes it easy to stay in the know about what’s important and relevant in your world. It updates throughout the day to bring you the top local, national, and world headlines, plus personalized n",3.9
58,Times Of India News App,News and magazines,"The Times of India news app provides a seamless news-reading experience with the latest updates from India and around the world. Stay informed on local, national and global news, political developments, live cricket scores and updates across business, technology, and entertainment. Available in 14 languages, including English, Hindi, Telugu, Tamil, and more, the TOI newspaper app ensures you never miss important stories and latest news.

Key features include:
News Briefs: Quick, concise updat",4.3
59,Inshorts - News in 60 words,News and magazines,"Inshorts is India’s highest-rated news app that brings you the latest and best stories from national and international sources, all summarized in just 60 words or less. Stay informed without the clutter: no opinions, no extra noise, only facts that matter. Whether it’s government policies, stock market updates, or the latest Bollywood gossip, Inshorts keeps you updated in seconds. Now available in English and Hindi. 

Now browse multiple features with ease.

My Feed 
Short, crisp, and perso",4.2
60,Lokal: Breaking Info & Jobs,News and magazines,"Lokal App, India's Top rated hyperlocal app, offers daily local information in vernacular languages, given in a concise, summary format. You can also search for jobs in your local area, for absolutely free!! 
More than 2 crore Indians trust Lokal App.

Get minute to minute, complete information in తెలుగు, தமிழ், ಕನ್ನಡ, मराठी, ગુજરાતી, മലയാളം, বাংলা, and ਪੰਜਾਬੀ. Stay updated with all updates from your locality.

Other Features - Daily Digital Magazine, Whatsapp Stories, Interesting Facts, Ge",4.0
61,Mint: Markets & News,News and magazines,"Welcome to Mint, India’s premier and most trusted financial news platform, designed to empower your investment journey. The Mint app is your indispensable guide, delivering real-time share market news, live stock market updates, in-depth business analysis, and exclusive IPO alerts directly to your device. Whether you're a seasoned day trader, a long-term investor, a business professional, or a student, Mint is designed to provide the clarity and insights you need to make smarter, more profitable",3.9
62,News18: Breaking & Local News,News and magazines,"News18 is India’s leading news app, delivering breaking news and live updates from across the country and around the globe. It is the flagship digital news destination of Network18, India’s largest news and media conglomerate, and is also the digital face of the News18 network’s leading television news channels that include market leaders such as CNN-News18 (Formerly CNN-IBN and earlier known as IBNLive), News18 India, News18 Lokmat, News18 Bangla and many more. For long-time viewers familiar wi",4.3
63,Hindustan Times: Daily News,News and magazines,"Latest Daily credible news, IPL, Market Updates, World News, and insights from The Economist — all in one Daily News App and Daily Newspaper experience.
Experience the pulse of the world with the Hindustan Times News App, celebrating 100 years — your trusted Daily News App for Breaking News, Current Affairs, and Live Updates from India and around the world. Access trending stories, top headlines, and exclusive analyses. Be the first to get news updates and stay ahead with the fast, reliable, an",4.5
64,Economic Times : Business News,News and magazines,"Your reliable finance destination to track all business news & stock market news.

Get breaking news on Finance, Business, Stock market, Economy, & Investments. The Economic Times App delivers critical Business News, Financial information on Nifty, Sensex, NSE, BSE, exclusive stories, expert insights & advanced Stock Market tools, Stock Reports & Share Market changes.

Download the app now to stay ahead of the markets. Decode business trends & dive deep into what really moves markets. 

Cr",4.7
65,India Today - English News,News and magazines,"Stay ahead with India Today, India’s most trusted English news channel—now on your smartphone. Get Live TV, breaking news in English, real-time updates, and in-depth analysis across politics, world affairs, sports, business, technology, entertainment, and more.

🚀 Why India Today?

Live TV & Audio News: Watch India Today Live anytime, anywhere, absolutely free. Stream live news from Aaj Tak and Good News Today channels seamlessly. Prefer listening on the go? Switch to audio mode and stay upd",4.2
66,Photomath,Mathematics,"Photomath is known worldwide for helping millions of learners to learn, practice, and understand math – one step at a time. 

Scan any math problem with the Photomath app to get step-by-step explanations with accurate solutions and a variety of teacher-approved methods. Math is about the process, so Photomath breaks your problem into bite-sized steps to help you understand the “what” and “why” along with the “how.” Whether you’re learning basic arithmetic or advanced geometry, we’ll tackle it ",4.1
67,Matiks: Math and Mind Games,Mathematics,"Step into the arena where numbers meet strategy! 

Matiks transforms mental math into a thrilling esport 🎮, blending fast-paced competition with brain-boosting fun. Matiks is your ticket to mastering calculations, outsmarting rivals, and leveling up your cognitive skills 🧠 – all in real time.

Ready to compete? 🤺

Challenge friends or take on players worldwide 🌏 in live math battles that test speed, accuracy, and smarts. 

From daily brain training to global leaderboards, Matiks turns pr",4.7
68,1st - 12th Grade Math Problems,Mathematics,"Learn math 
Free basic math games are suitable for all age groups to practice math and improve arithmetic skills and a great exercise for the brain!


Mathematics
Help children for learning basic math like addition, subtraction, multiplication and division with free tests and fun games. Decimals, geometry, fractions, equations, arithmetic and algebra are also available at a suitable level for all age groups. You can select math problems from the list and create math tests, which makes child",4.3
